account_id,company_name,industry_segment,account_manager,annual_revenue,device_count,tenure_months,contract_type,days_to_contract_renewal,auto_renewal_enabled,ctn_count,pct_lines_disconnected_90d,monthly_charges,avg_invoice_delay_days,late_payments_12mo,autopay_enabled,support_tickets_90d,support_calls_90d,avg_resolution_time_hours,escalations_90d,csat_score,platform_logins_90d,days_since_last_login,self_service_completion_rate,upgrade_funnel_abandon_rate,primary_dropoff_page,dropoff_severity,rate_plan_changes_90d,feature_adoption_count,device_upgrades_90d,accessory_purchases_90d,churn_label
ACC-100020,Gray-Mayo,Logistics,AM-010,35859.08,48,42,Month-to-Month,155,1,51,0.1,2756.01,1.8,2,0,1,2,23.2,0,10.0,14,1,0.88,0.41,Checkout / Payment,0.32,1,4,2,0,0
ACC-100021,"Watts, Robinson and Nguyen",Government,AM-022,27080.57,49,7,Month-to-Month,91,1,52,0.5,2079.94,5.2,0,1,2,1,22.4,2,9.1,7,20,0.71,0.24,Device Browse/Compare,0.46,1,4,0,0,1
ACC-100022,Perez Inc,Banking & Financial Services,AM-013,14758.07,35,7,Month-to-Month,339,1,36,4.8,1215.79,3.6,1,1,1,0,12.6,0,7.7,16,7,0.91,0.22,Plan & Feature Selection,0.05,0,0,1,1,0
ACC-100023,Morales-Jones,Hospitality,AM-015,35571.11,57,27,Month-to-Month,126,1,58,5.9,2955.06,7.1,0,0,1,1,1.4,1,8.3,11,13,0.86,0.28,Support Handoff,0.11,1,2,0,1,0
ACC-100024,"Walter, Edwards and Rios",Small Business / Retail,AM-003,28062.45,54,39,2-Year,337,1,56,12.1,2461.0,0.2,2,1,2,2,21.3,0,9.2,5,2,0.92,0.29,Add to Cart,0.37,1,3,3,1,0
ACC-100025,Wilkerson-Day,Healthcare,AM-003,36948.62,57,27,1-Year,169,0,57,0.4,3111.31,1.1,0,1,2,0,14.2,0,6.2,13,1,0.6,0.11,Checkout / Payment,0.2,3,3,1,0,0
ACC-100026,Baker and Sons,Government,AM-022,25338.19,39,21,1-Year,139,0,41,2.2,2118.22,3.3,0,1,1,0,11.4,0,5.8,17,32,0.6,0.08,Checkout / Payment,0.52,3,2,1,1,1
ACC-100027,"Hoffman, Baker and Richards",Technology,AM-011,18474.17,47,18,2-Year,5,1,49,0.2,1519.67,8.5,1,1,2,1,9.5,0,7.0,11,53,0.59,0.33,Plan & Feature Selection,0.38,0,1,0,0,0
ACC-100028,"Ross, Robinson and Bright",Education,AM-022,36848.74,47,16,Month-to-Month,66,1,50,0.5,2776.21,6.7,2,1,1,1,10.8,0,9.2,12,24,0.5,0.29,Add to Cart,0.32,3,3,0,0,0
ACC-100029,"Snyder, Campos and Callahan",Healthcare,AM-007,37271.61,44,48,1-Year,111,1,45,0.6,2708.91,4.6,2,1,7,3,6.1,1,10.0,16,12,0.91,0.28,Device Browse/Compare,0.44,0,1,1,1,0
ACC-100030,Burton Ltd,Logistics,AM-010,28348.96,41,30,1-Year,184,0,41,0.2,2184.02,3.4,1,0,5,3,7.8,0,7.1,10,11,0.35,0.13,Checkout / Payment,0.44,2,2,0,0,0
ACC-100031,Carlson-Cruz,Pharmaceuticals,AM-005,34808.12,50,17,2-Year,268,1,53,6.7,2840.32,4.0,0,0,1,0,15.4,2,5.5,15,43,0.69,0.18,Support Handoff,0.09,0,3,2,0,0
ACC-100032,"Ferrell, Rice and Maddox",Government,AM-008,26204.83,44,13,Month-to-Month,170,1,45,0.4,1935.84,1.0,0,1,2,3,32.8,1,8.0,7,3,0.54,0.51,Checkout / Payment,0.1,2,1,0,1,1
ACC-100033,Frazier Inc,Logistics,AM-016,21097.14,37,36,1-Year,362,0,39,3.0,1606.27,3.6,1,1,3,0,24.9,0,7.3,13,28,0.92,0.29,Add to Cart,0.53,0,2,1,1,0
ACC-100034,"Dyer, Potter and Mack",Technology,AM-001,37996.61,60,47,2-Year,244,1,60,2.9,2801.97,2.7,0,0,4,2,9.5,0,9.7,16,47,0.9,0.1,Order Confirmation,0.4,0,2,0,2,0
ACC-100035,Rodriguez-Graham,Education,AM-023,32265.28,46,45,Month-to-Month,331,1,46,0.7,2408.53,1.9,3,1,0,1,4.5,0,7.7,13,12,0.69,0.44,Login / Authentication,0.26,0,2,0,2,0
ACC-100036,Smith-Bowen,Technology,AM-009,37375.15,51,11,Month-to-Month,138,1,53,19.3,2764.37,8.7,1,0,4,2,14.2,0,8.4,11,3,0.89,0.24,Checkout / Payment,0.5,2,4,0,1,0
ACC-100037,"Baker, Mason and White",Small Business / Retail,AM-009,29643.33,52,18,1-Year,28,1,52,1.3,2157.88,7.1,2,0,4,2,8.7,1,6.8,16,9,0.67,0.37,Support Handoff,0.72,0,0,0,2,1
ACC-100038,Harrell LLC,Banking & Financial Services,AM-006,23488.63,42,16,Month-to-Month,7,0,45,7.1,1830.9,0.3,0,1,4,1,2.1,1,7.9,16,13,0.44,0.28,Add to Cart,0.18,0,4,0,1,0
ACC-100039,"Romero, Gonzalez and Brooks",Hospitality,AM-005,16870.42,39,20,1-Year,333,1,43,8.9,1422.39,17.0,2,0,0,1,6.1,1,5.2,18,4,0.93,0.16,Login / Authentication,0.28,1,1,0,1,0
ACC-100040,Ryan PLC,Manufacturing,AM-003,25794.14,38,41,2-Year,317,1,39,8.9,1956.84,1.0,0,1,0,1,13.6,0,6.9,9,37,0.75,0.08,Add to Cart,0.31,1,2,0,2,0
ACC-100041,George Group,Hospitality,AM-015,24247.14,46,57,1-Year,51,1,46,4.2,1926.56,1.0,0,1,1,3,13.4,0,6.2,11,12,0.82,0.4,Checkout / Payment,0.31,2,0,0,0,0
ACC-100042,Rodriguez LLC,Pharmaceuticals,AM-001,20532.61,36,30,1-Year,136,1,38,0.9,1618.48,11.5,1,0,0,3,6.5,0,7.9,11,4,0.78,0.33,Support Handoff,0.09,1,2,0,0,0
ACC-100043,Allen-Allen,Healthcare,AM-003,36122.09,46,14,1-Year,178,1,47,0.4,2764.68,2.4,3,0,4,1,5.3,1,7.1,10,6,0.68,0.33,Support Handoff,0.09,0,4,1,0,0
ACC-100044,"Arroyo, Miller and Tucker",Healthcare,AM-006,20147.08,28,23,Month-to-Month,129,1,31,2.5,1543.4,6.5,0,1,1,1,17.4,0,5.3,10,16,0.83,0.16,Support Handoff,0.14,0,1,1,1,1
ACC-100045,Spence PLC,Healthcare,AM-023,33404.11,50,65,Month-to-Month,197,1,51,1.3,2426.74,1.4,1,0,3,2,17.1,1,8.3,9,33,0.66,0.09,Plan & Feature Selection,0.37,0,2,0,0,0
ACC-100046,Anderson Group,Healthcare,AM-015,25918.99,41,25,2-Year,267,1,42,5.3,2168.95,8.3,2,0,5,2,13.3,1,8.2,10,6,0.62,0.27,Plan & Feature Selection,0.27,1,0,0,0,0
ACC-100047,"Martin, Rose and Obrien",Healthcare,AM-015,34203.2,47,18,1-Year,107,1,48,4.1,2705.52,7.1,1,0,4,2,7.9,0,9.2,9,1,0.52,0.15,Login / Authentication,0.17,0,2,1,1,0
ACC-100048,Hickman Ltd,Logistics,AM-007,17658.62,47,20,Month-to-Month,48,1,48,1.0,1538.89,2.9,0,1,7,1,6.5,0,7.1,14,2,0.78,0.33,Plan & Feature Selection,0.58,1,1,0,1,1
ACC-100049,"Harris, Collins and Carney",Manufacturing,AM-018,23107.97,44,30,Month-to-Month,138,0,45,0.1,1821.37,4.9,0,0,2,3,15.8,0,6.6,8,0,0.58,0.42,Support Handoff,0.53,1,1,0,0,1
ACC-100050,"Brooks, Lam and Hayes",Banking & Financial Services,AM-005,27173.35,55,12,1-Year,103,1,55,0.8,2372.86,13.3,2,0,4,3,17.3,0,6.1,11,22,0.72,0.33,Order Confirmation,0.14,2,2,1,0,0
ACC-100051,Walker LLC,Small Business / Retail,AM-015,28585.0,53,15,2-Year,47,0,56,2.5,2081.7,2.4,1,0,4,1,3.4,1,8.2,16,4,0.78,0.29,Device Browse/Compare,0.08,2,2,1,2,0
ACC-100052,Chapman and Sons,Banking & Financial Services,AM-010,28289.69,52,44,2-Year,153,1,55,0.2,2358.3,2.7,4,0,3,2,10.7,0,8.2,12,22,0.41,0.15,Support Handoff,0.44,0,2,0,1,1
ACC-100053,"Robinson, Jones and Welch",Healthcare,AM-022,23878.6,53,30,Month-to-Month,6,0,54,3.2,1759.91,5.1,0,0,5,2,8.2,1,6.6,14,37,0.95,0.53,Login / Authentication,0.13,2,2,1,0,0
ACC-100054,Jones Inc,Energy & Utilities,AM-023,31493.53,47,25,2-Year,11,1,48,3.3,2514.12,2.0,1,1,1,0,6.4,0,7.2,14,4,0.86,0.12,Checkout / Payment,0.55,1,3,2,1,0
ACC-100055,Jones-Young,Logistics,AM-012,21184.06,36,46,1-Year,17,1,38,0.6,1552.68,13.0,1,0,4,1,9.9,0,8.1,15,25,0.7,0.41,Plan & Feature Selection,0.51,2,2,1,2,1
ACC-100056,"Washington, Ryan and Cummings",Healthcare,AM-018,32547.38,51,13,1-Year,143,1,52,2.7,2423.6,0.2,2,1,2,3,9.6,0,7.5,11,7,0.9,0.12,Checkout / Payment,0.41,3,3,0,0,0
ACC-100057,"Johnston, Sanchez and Kennedy",Pharmaceuticals,AM-001,22870.08,39,18,1-Year,272,1,43,2.8,1952.65,2.1,2,0,3,4,11.5,1,7.6,12,15,0.76,0.59,Support Handoff,0.29,0,3,2,0,0
ACC-100058,Lee-Davis,Pharmaceuticals,AM-020,28737.26,43,29,Month-to-Month,312,0,45,2.0,2225.67,5.0,0,0,2,3,6.4,0,10.0,17,22,0.62,0.44,Device Browse/Compare,0.46,1,2,1,3,0
ACC-100059,Gomez-Jenkins,Small Business / Retail,AM-013,10555.08,35,28,2-Year,66,1,35,9.2,885.95,2.2,0,1,0,2,12.3,1,5.2,15,9,0.83,0.38,Checkout / Payment,0.45,0,6,0,0,0
ACC-100060,"Brown, Valdez and Lucas",Small Business / Retail,AM-004,26657.11,39,6,Month-to-Month,339,1,40,0.3,1944.08,1.2,0,0,2,3,15.6,2,6.9,18,3,0.46,0.46,Add to Cart,0.22,1,2,0,1,1
ACC-100061,Powell LLC,Technology,AM-018,28136.32,48,17,Month-to-Month,331,0,50,1.6,2139.96,2.1,3,0,1,2,3.4,1,10.0,13,0,0.72,0.22,Checkout / Payment,0.05,0,2,0,0,0
ACC-100062,Wright and Sons,Education,AM-021,28297.2,51,21,2-Year,256,1,51,6.4,2461.0,8.5,2,0,2,1,4.5,1,8.0,15,0,0.56,0.5,Checkout / Payment,0.08,0,4,2,2,1
ACC-100063,"West, Henderson and Ramirez",Government,AM-021,19643.8,42,31,1-Year,127,1,45,1.5,1600.4,3.2,3,1,1,0,8.1,0,6.0,9,11,0.88,0.33,Support Handoff,0.28,0,2,0,0,1
ACC-100064,Baxter Inc,Pharmaceuticals,AM-009,34738.04,50,28,2-Year,131,1,53,1.7,2560.4,1.6,1,0,3,0,19.2,0,8.1,16,29,0.65,0.08,Checkout / Payment,0.38,0,4,0,0,0
ACC-100065,Morton-Chase,Government,AM-018,40637.37,53,22,1-Year,18,1,54,3.3,2990.96,4.5,1,1,1,2,4.3,0,8.1,8,10,0.5,0.39,Support Handoff,0.13,1,1,1,1,0
ACC-100066,Williams PLC,Logistics,AM-010,30052.16,49,3,Month-to-Month,207,0,49,3.3,2279.39,3.8,1,1,2,2,7.8,0,9.2,8,5,0.75,0.2,Add to Cart,0.4,0,2,0,1,0
ACC-100067,Novak and Sons,Banking & Financial Services,AM-006,25954.75,51,23,2-Year,89,1,52,0.1,2041.63,3.3,0,0,2,2,13.0,0,9.0,12,2,0.67,0.29,Plan & Feature Selection,0.41,0,3,2,2,0
ACC-100068,Russell Group,Hospitality,AM-002,21333.03,42,24,Month-to-Month,243,1,46,1.8,1822.14,2.0,2,1,3,1,12.5,1,6.3,13,6,0.34,0.63,Checkout / Payment,0.16,0,3,0,0,1
ACC-100069,Hancock Inc,Banking & Financial Services,AM-022,31124.0,47,84,2-Year,350,1,48,1.2,2381.28,0.3,7,0,4,3,13.2,0,7.7,6,34,0.87,0.14,Device Browse/Compare,0.48,0,1,0,1,0
ACC-100070,Gray Group,Manufacturing,AM-007,36002.4,59,20,Month-to-Month,17,1,61,3.0,3022.99,3.9,2,0,5,4,52.4,1,8.5,15,10,0.73,0.34,Checkout / Payment,0.11,1,0,0,0,0
ACC-100071,House-Glover,Education,AM-006,32683.49,54,29,2-Year,223,1,55,2.4,2631.88,2.2,3,1,2,2,2.1,0,6.1,10,2,0.89,0.39,Plan & Feature Selection,0.14,1,0,0,2,0
ACC-100072,Henderson-Bernard,Healthcare,AM-024,19161.98,37,51,Month-to-Month,363,1,37,3.2,1653.89,2.2,0,1,3,3,14.5,1,7.6,11,4,0.71,0.23,Plan & Feature Selection,0.26,1,2,2,0,0
ACC-100073,"Stanley, Tucker and Lee",Education,AM-021,25151.89,44,40,1-Year,210,1,45,3.2,2098.07,1.1,0,1,2,0,37.1,0,4.5,10,83,0.78,0.64,Device Browse/Compare,0.06,3,2,1,0,0
ACC-100074,Novak PLC,Pharmaceuticals,AM-013,28438.39,46,59,2-Year,99,0,49,0.9,2179.56,1.1,1,1,2,0,12.7,0,7.8,17,12,0.75,0.46,Checkout / Payment,0.61,1,5,1,1,1
ACC-100075,"Daniels, Adkins and Brown",Education,AM-003,25732.06,52,6,1-Year,13,1,53,0.8,2223.51,6.2,0,1,1,1,10.6,0,7.9,6,2,0.7,0.29,Order Confirmation,0.68,0,2,0,1,0
ACC-100076,"Woods, Calhoun and Schmidt",Hospitality,AM-008,30016.29,46,10,1-Year,319,1,46,1.4,2348.75,2.6,1,0,3,2,17.3,0,6.7,16,6,0.77,0.32,Plan & Feature Selection,0.31,0,1,0,1,0
ACC-100077,Yu Inc,Manufacturing,AM-024,27782.63,43,15,2-Year,270,1,44,0.8,2089.16,0.5,0,1,2,2,2.9,0,9.1,8,1,0.83,0.26,Add to Cart,0.35,1,3,0,0,0
ACC-100078,Jones Inc,Energy & Utilities,AM-007,23191.8,35,5,1-Year,187,0,36,3.4,1991.68,0.2,0,0,3,1,18.6,0,9.4,10,1,0.67,0.18,Checkout / Payment,0.04,1,2,0,0,0
ACC-100079,"Hensley, Powell and David",Logistics,AM-004,29773.78,47,25,2-Year,274,1,48,2.8,2588.88,1.0,1,1,1,2,18.3,0,5.8,16,25,0.56,0.03,Add to Cart,0.43,0,1,0,1,0
ACC-100080,"Sanchez, Wheeler and Harvey",Hospitality,AM-018,22300.35,39,10,Month-to-Month,133,0,40,0.7,1888.79,2.7,0,1,5,0,4.4,2,9.5,14,1,0.52,0.08,Device Browse/Compare,0.43,1,3,0,0,0
ACC-100081,Sandoval-Cunningham,Pharmaceuticals,AM-008,23475.22,38,64,Month-to-Month,14,0,39,6.5,1940.76,3.8,0,1,1,0,6.6,1,7.6,11,25,0.54,0.24,Checkout / Payment,0.22,1,1,0,1,0
ACC-100082,Donovan-Harris,Logistics,AM-011,23473.46,53,12,Month-to-Month,281,0,54,1.9,2016.5,0.6,1,0,1,0,17.2,0,6.1,14,0,0.61,0.29,Login / Authentication,0.1,0,1,2,0,1
ACC-100083,"Edwards, Baker and Anderson",Technology,AM-002,22943.95,39,18,Month-to-Month,44,1,39,0.4,1730.79,2.3,1,1,2,1,17.4,0,9.8,7,16,0.51,0.27,Checkout / Payment,0.14,0,0,2,1,0
ACC-100084,"Evans, Stewart and Walton",Healthcare,AM-005,22869.64,42,41,Month-to-Month,295,1,42,0.7,2005.13,0.3,3,1,0,5,1.5,0,7.7,12,25,0.69,0.46,Plan & Feature Selection,0.6,0,0,0,1,0
ACC-100085,Smith PLC,Energy & Utilities,AM-024,15392.59,38,7,1-Year,104,1,40,2.3,1293.52,0.2,3,1,0,2,9.9,0,5.7,9,5,0.92,0.25,Checkout / Payment,0.21,3,4,1,0,0
ACC-100086,"Ferrell, Jones and Lewis",Healthcare,AM-005,26007.95,41,5,Month-to-Month,62,0,41,1.2,1985.85,8.0,0,1,1,2,4.8,0,6.3,8,5,0.85,0.43,Order Confirmation,0.45,0,3,0,1,1
ACC-100087,Anderson-Bailey,Pharmaceuticals,AM-003,23203.08,51,27,Month-to-Month,53,0,52,5.7,1940.96,4.3,1,0,5,2,27.1,0,7.7,11,44,0.87,0.14,Checkout / Payment,0.37,1,4,2,0,0
ACC-100088,Suarez LLC,Education,AM-008,19156.65,38,28,Month-to-Month,309,0,41,2.0,1566.34,6.1,2,1,1,3,4.8,0,8.3,12,4,0.88,0.23,Device Browse/Compare,0.12,2,5,2,0,0
ACC-100089,Moore-Bass,Pharmaceuticals,AM-024,24159.69,44,41,2-Year,118,1,45,7.4,1834.39,0.8,2,0,1,1,41.4,0,9.4,16,2,0.46,0.25,Plan & Feature Selection,0.12,1,1,0,1,1
ACC-100090,"Turner, Riggs and Roman",Logistics,AM-025,21522.06,42,34,1-Year,321,1,42,0.3,1879.75,1.6,1,1,1,1,23.9,0,8.2,10,3,0.88,0.3,Support Handoff,0.63,0,2,0,0,0
ACC-100091,"Smith, Montoya and Evans",Small Business / Retail,AM-015,16965.95,42,29,Month-to-Month,131,1,43,3.3,1478.16,2.3,1,1,3,3,3.0,0,5.4,9,2,0.45,0.11,Login / Authentication,0.15,2,1,1,1,1
ACC-100092,"Garcia, Humphrey and Baker",Pharmaceuticals,AM-007,29445.43,41,13,2-Year,299,1,43,6.5,2229.69,4.3,1,1,3,2,7.4,0,6.5,10,1,0.75,0.54,Support Handoff,0.46,0,1,0,1,0
ACC-100093,Newton and Sons,Technology,AM-010,31411.21,51,28,Month-to-Month,306,1,52,1.0,2413.81,3.1,1,1,2,2,13.2,1,10.0,10,23,0.93,0.24,Checkout / Payment,0.18,1,2,2,0,0
ACC-100094,Campbell-Clark,Logistics,AM-002,32055.29,38,29,2-Year,199,1,39,0.4,2355.59,3.2,2,0,3,1,2.9,0,10.0,15,4,0.56,0.53,Device Browse/Compare,0.62,2,5,3,1,0
ACC-100095,Harris-Walters,Manufacturing,AM-016,31326.81,50,13,1-Year,36,0,51,1.8,2417.43,0.7,0,0,2,2,6.1,1,8.0,10,20,0.56,0.54,Device Browse/Compare,0.16,0,3,0,1,0
ACC-100096,Wagner-King,Education,AM-005,24856.51,42,76,Month-to-Month,279,1,43,9.8,2131.36,2.6,3,0,3,5,11.5,0,8.9,19,0,0.61,0.3,Device Browse/Compare,0.41,1,2,1,1,1
ACC-100097,Davis Group,Healthcare,AM-011,24375.55,46,33,1-Year,216,0,47,3.0,1793.95,6.9,1,0,6,4,22.7,0,8.3,21,4,0.65,0.2,Checkout / Payment,0.41,0,1,0,0,0
ACC-100098,Williams-Cook,Technology,AM-007,13485.1,32,10,2-Year,74,0,32,3.1,1137.46,2.8,3,0,4,3,4.8,0,9.9,7,3,0.88,0.26,Device Browse/Compare,0.51,0,3,1,0,0
ACC-100099,Walsh LLC,Manufacturing,AM-008,24672.73,36,41,Month-to-Month,306,1,40,3.3,1998.13,0.9,1,0,2,4,2.3,0,8.7,23,2,0.72,0.45,Add to Cart,0.34,0,2,0,0,0
ACC-100100,Figueroa PLC,Pharmaceuticals,AM-020,18310.96,42,45,2-Year,55,1,44,0.1,1595.16,2.1,1,1,0,4,55.9,0,7.9,12,21,0.78,0.35,Device Browse/Compare,0.29,0,1,1,1,0
ACC-100101,"Patterson, Smith and Jones",Hospitality,AM-014,28352.96,47,32,Month-to-Month,12,1,48,1.8,2406.47,5.6,3,1,0,1,21.8,0,9.9,18,19,0.73,0.42,Order Confirmation,0.2,1,3,0,5,1
ACC-100102,"Mckee, Gardner and Davenport",Pharmaceuticals,AM-021,27432.53,39,19,Month-to-Month,83,1,40,0.2,2346.09,0.6,0,0,1,2,22.4,1,8.3,18,26,0.86,0.25,Device Browse/Compare,0.58,0,3,1,0,0
ACC-100103,"Tran, Jordan and Williams",Technology,AM-010,23706.29,35,12,Month-to-Month,32,1,37,1.1,1944.95,3.5,1,1,4,1,8.7,0,6.8,14,16,0.62,0.22,Support Handoff,0.6,1,4,0,3,0
ACC-100104,Nolan-Flynn,Government,AM-021,28614.51,40,22,Month-to-Month,86,1,42,5.2,2081.67,13.4,2,1,0,2,9.5,0,8.9,13,12,0.42,0.3,Plan & Feature Selection,0.13,1,1,0,1,0
ACC-100105,Nolan and Sons,Pharmaceuticals,AM-014,24161.81,39,30,Month-to-Month,232,0,40,3.2,1886.24,1.9,0,1,0,3,11.3,0,8.8,14,47,0.59,0.31,Support Handoff,0.1,4,1,0,0,0
ACC-100106,"Wright, Garcia and Deleon",Energy & Utilities,AM-009,25037.33,48,24,2-Year,275,1,48,16.3,2012.56,0.2,1,1,2,1,12.2,0,6.7,10,8,0.77,0.5,Checkout / Payment,0.07,0,2,0,1,0
ACC-100107,Dickson-Brady,Government,AM-009,19208.61,31,61,Month-to-Month,201,0,33,0.6,1454.76,4.0,2,1,3,4,11.9,1,9.8,10,20,0.68,0.29,Support Handoff,0.14,0,1,1,0,0
ACC-100108,Hancock and Sons,Technology,AM-015,21747.95,42,37,Month-to-Month,51,0,44,1.5,1780.97,0.2,2,1,1,1,4.8,0,8.6,13,3,0.85,0.24,Add to Cart,0.19,0,3,0,0,0
ACC-100109,Johnson-Doyle,Healthcare,AM-021,18834.39,40,11,1-Year,320,1,44,5.0,1516.98,0.9,4,0,3,4,6.9,0,7.4,11,24,0.62,0.08,Device Browse/Compare,0.38,1,1,0,2,0
ACC-100110,Patton-Jenkins,Banking & Financial Services,AM-019,28044.08,45,9,2-Year,256,1,46,0.7,2083.04,0.2,1,0,1,2,25.6,0,8.3,13,19,0.73,0.13,Plan & Feature Selection,0.5,3,3,2,1,0
ACC-100111,"Shields, Cochran and Adams",Energy & Utilities,AM-004,29026.28,39,33,2-Year,241,0,45,0.5,2423.84,0.7,1,1,5,1,11.1,0,9.6,14,6,0.59,0.36,Add to Cart,0.47,0,1,4,1,0
ACC-100112,"Rodriguez, Brennan and Garrison",Pharmaceuticals,AM-016,18838.93,39,20,2-Year,205,1,42,1.7,1456.96,7.7,0,0,0,0,23.4,0,7.7,14,49,0.33,0.26,Checkout / Payment,0.16,0,2,0,1,0
ACC-100113,Gonzalez Group,Hospitality,AM-015,31899.59,46,39,2-Year,196,1,46,1.5,2584.65,5.3,2,1,1,1,4.1,0,7.0,10,31,0.97,0.15,Plan & Feature Selection,0.28,1,3,2,0,0
ACC-100114,Torres-Pope,Government,AM-010,27505.97,37,33,2-Year,244,0,39,11.8,2134.76,1.7,0,0,1,2,7.8,0,6.0,12,23,0.85,0.31,Device Browse/Compare,0.42,1,1,0,1,0
